#id,x,y,z,u,v,w
143,-60.75,16.7,0,-0.002481922981173424,0.,0.
144,-60.75,16.95,0,-0.002397830457640002,0.,0.
145,-60.75,17.2,0,-0.002301569790394541,0.,0.
146,-60.75,17.45,0,-0.002194852444488985,0.,0.
147,-60.75,17.7,0,-0.002079514788772585,0.,0.
148,-60.75,17.95,0,-0.0019574658850290525,0.,0.
149,-60.75,18.2,0,-0.0018306355614498171,0.,0.
150,-60.75,18.45,0,-0.0017009247144472947,0.,0.
151,-60.75,18.7,0,-0.0015701595772627344,0.,0.
152,-60.75,18.95,0,-0.0014400514133096037,0.,0.
153,-60.75,19.2,0,-0.001312162757069342,0.,0.
154,-60.75,19.45,0,-0.0011878809580609408,0.,0.
155,-60.75,19.7,0,-0.001068399406791492,0.,0.
156,-60.75,19.95,0,-0.0009547064573423227,0.,0.
157,-60.75,20.2,0,-0.0008475817284863517,0.,0.
158,-60.75,20.45,0,-0.0007475991794740545,0.,0.
159,-60.75,20.7,0,-0.0006551361290363778,0.,0.
160,-60.75,20.95,0,-0.0005703872232338781,0.,0.
161,-60.75,21.2,0,-0.0004933822614106659,0.,0.
162,-60.75,21.45,0,-0.0004240067573223538,0.,0.
163,-60.75,21.7,0,-0.0003620241385301168,0.,0.
164,-60.75,21.95,0,-0.00030709856264574283,0.,0.
165,-60.75,22.2,0,-0.00025881744338639314,0.,0.
166,-60.75,22.45,0,-0.00021671292115801495,0.,0.
167,-60.75,22.7,0,-0.00018028167051174003,0.,0.
168,-60.75,22.95,0,-0.00014900259951871648,0.,0.
169,-60.75,23.2,0,-0.00012235215442393533,0.,0.
170,-60.75,23.45,0,-9.981708914653864e-05,0.,0.
171,-60.75,23.7,0,-8.090468753439577e-05,0.,0.
172,-60.75,23.95,0,-6.515053300911907e-05,0.,0.
173,-60.75,24.2,0,-5.212400352143994e-05,0.,0.
174,-60.75,24.45,0,-4.143172943849344e-05,0.,0.
175,-60.75,24.7,0,-3.271928936451703e-05,0.,0.
176,-60.75,24.95,0,-2.5671436272889514e-05,0.,0.
177,-60.75,25.2,0,-2.0011146726423263e-05,0.,0.
178,-60.75,25.45,0,-1.5497772787427706e-05,0.,0.
179,-60.75,25.7,0,-1.1924552958004983e-05,0.,0.
180,-60.75,25.95,0,-9.115708480969326e-06,0.,0.
181,-60.75,26.2,0,-6.923317579636926e-06,0.,0.
182,-60.75,26.45,0,-5.224125280760876e-06,0.,0.
183,-60.75,26.7,0,-3.916412401715384e-06,0.,0.
184,-60.75,26.95,0,-2.917015622989013e-06,0.,0.
185,-60.75,27.2,0,-2.15856234759361e-06,0.,0.
186,-60.75,27.45,0,-1.5869598657013924e-06,0.,0.
187,-60.75,27.7,0,-1.1591584194038476e-06,0.,0.
188,-60.75,27.95,0,-8.411920287472067e-07,0.,0.
189,-60.75,28.2,0,-6.064891102453873e-07,0.,0.
190,-60.75,28.45,0,-4.344365640731941e-07,0.,0.
191,-60.75,28.7,0,-3.0917561780045424e-07,0.,0.
192,-60.75,28.95,0,-2.186047570935015e-07,0.,0.
193,-60.5,2.2,0,-2.9467630047782956e-07,0.,0.
194,-60.5,2.45,0,-4.151414904007242e-07,0.,0.
195,-60.5,2.7,0,-5.810621351373206e-07,0.,0.
196,-60.5,2.95,0,-8.080244740250767e-07,0.,0.
197,-60.5,3.2,0,-1.1163540671140114e-06,0.,0.
198,-60.5,3.45,0,-1.532339182644219e-06,0.,0.
199,-60.5,3.7,0,-2.089697190793989e-06,0.,0.
200,-60.5,3.95,0,-2.831309297442558e-06,0.,0.
201,-60.5,4.2,0,-3.81124419099515e-06,0.,0.
202,-60.5,4.45,0,-5.0970834026673735e-06,0.,0.
203,-60.5,4.7,0,-6.772549821838727e-06,0.,0.
204,-60.5,4.95,0,-8.940425351579078e-06,0.,0.
205,-60.5,5.2,0,-1.1725723750852693e-05,0.,0.
206,-60.5,5.45,0,-1.5279060107974744e-05,0.,0.
207,-60.5,5.7,0,-1.9780129230352948e-05,0.,0.
208,-60.5,5.95,0,-2.544117199733446e-05,0.,0.
209,-60.5,6.2,0,-3.2510272339468955e-05,0.,0.
210,-60.5,6.45,0,-4.127428943322238e-05,0.,0.
211,-60.5,6.7,0,-5.206119195210256e-05,0.,0.
212,-60.5,6.95,0,-6.524152637689314e-05,0.,0.
213,-60.5,7.2,0,-8.122872254513373e-05,0.,0.
214,-60.5,7.45,0,-0.00010047792033871127,0.,0.
215,-60.5,7.7,0,-0.00012348299544617984,0.,0.
216,-60.5,7.95,0,-0.0001507714732888633,0.,0.
217,-60.5,8.2,0,-0.00018289705198388994,0.,0.
218,-60.5,8.45,0,-0.000220429510524295,0.,0.
219,-60.5,8.7,0,-0.00026394185907401083,0.,0.
220,-60.5,8.95,0,-0.0003139946949078099,0.,0.
221,-60.5,9.2,0,-0.00037111785884426157,0.,0.
222,-60.5,9.45,0,-0.00043578963978432335,0.,0.
