x,y,z,u,v,z,0.,0.,0.,0.,0.,0.
8.500,6.000,0.000,-3.145,-24.267,0.000,0.,0.,0.,0.,0.,0.
8.500,7.000,0.000,-3.676,-24.270,0.000,0.,0.,0.,0.,0.,0.
8.500,8.000,0.000,-4.210,-24.274,0.000,0.,0.,0.,0.,0.,0.
8.500,9.000,0.000,-4.748,-24.278,0.000,0.,0.,0.,0.,0.,0.
8.500,10.000,0.000,-5.289,-24.283,0.000,0.,0.,0.,0.,0.,0.
8.500,11.000,0.000,-5.835,-24.288,0.000,0.,0.,0.,0.,0.,0.
8.500,12.000,0.000,-6.386,-24.294,0.000,0.,0.,0.,0.,0.,0.
9.500,-12.000,0.000,6.365,-23.738,0.000,0.,0.,0.,0.,0.,0.
9.500,-11.000,0.000,5.816,-23.732,0.000,0.,0.,0.,0.,0.,0.
9.500,-10.000,0.000,5.272,-23.726,0.000,0.,0.,0.,0.,0.,0.
9.500,-9.000,0.000,4.732,-23.721,0.000,0.,0.,0.,0.,0.,0.
9.500,-8.000,0.000,4.196,-23.716,0.000,0.,0.,0.,0.,0.,0.
9.500,-7.000,0.000,3.664,-23.712,0.000,0.,0.,0.,0.,0.,0.
9.500,-6.000,0.000,3.135,-23.709,0.000,0.,0.,0.,0.,0.,0.
9.500,-5.000,0.000,2.608,-23.706,0.000,0.,0.,0.,0.,0.,0.
9.500,-4.000,0.000,2.084,-23.703,0.000,0.,0.,0.,0.,0.,0.
9.500,-3.000,0.000,1.561,-23.701,0.000,0.,0.,0.,0.,0.,0.
9.500,-2.000,0.000,1.040,-23.700,0.000,0.,0.,0.,0.,0.,0.
9.500,-1.000,0.000,0.520,-23.699,0.000,0.,0.,0.,0.,0.,0.
9.500,0.000,0.000,0.000,-23.699,0.000,0.,0.,0.,0.,0.,0.
9.500,1.000,0.000,-0.520,-23.699,0.000,0.,0.,0.,0.,0.,0.
9.500,2.000,0.000,-1.040,-23.700,0.000,0.,0.,0.,0.,0.,0.
9.500,3.000,0.000,-1.561,-23.701,0.000,0.,0.,0.,0.,0.,0.
9.500,4.000,0.000,-2.084,-23.703,0.000,0.,0.,0.,0.,0.,0.
9.500,5.000,0.000,-2.608,-23.706,0.000,0.,0.,0.,0.,0.,0.
9.500,6.000,0.000,-3.135,-23.709,0.000,0.,0.,0.,0.,0.,0.
9.500,7.000,0.000,-3.664,-23.712,0.000,0.,0.,0.,0.,0.,0.
9.500,8.000,0.000,-4.196,-23.716,0.000,0.,0.,0.,0.,0.,0.
9.500,9.000,0.000,-4.732,-23.721,0.000,0.,0.,0.,0.,0.,0.
9.500,10.000,0.000,-5.272,-23.726,0.000,0.,0.,0.,0.,0.,0.
9.500,11.000,0.000,-5.816,-23.732,0.000,0.,0.,0.,0.,0.,0.
9.500,12.000,0.000,-6.365,-23.738,0.000,0.,0.,0.,0.,0.,0.
10.500,-12.000,0.000,6.342,-23.184,0.000,0.,0.,0.,0.,0.,0.
10.500,-11.000,0.000,5.795,-23.177,0.000,0.,0.,0.,0.,0.,0.
10.500,-10.000,0.000,5.253,-23.171,0.000,0.,0.,0.,0.,0.,0.
10.500,-9.000,0.000,4.715,-23.165,0.000,0.,0.,0.,0.,0.,0.
