#id,x,y,z,u,v,z
212,-22.00,27.50,0.00,0.000,0.000,0.00
213,-22.00,28.50,0.00,0.000,0.000,0.00
214,-22.00,29.50,0.00,0.000,0.000,0.00
215,-22.00,30.50,0.00,0.000,0.000,0.00
216,-22.00,31.50,0.00,0.000,0.000,0.00
217,-22.00,32.50,0.00,0.000,0.000,0.00
218,-22.00,33.50,0.00,0.000,0.000,0.00
219,-22.00,34.50,0.00,0.000,0.000,0.00
220,-22.00,35.50,0.00,0.000,0.000,0.00
221,-22.00,36.50,0.00,0.000,0.000,0.00
222,-21.00,-36.50,0.00,0.000,0.000,0.00
223,-21.00,-35.50,0.00,0.000,0.000,0.00
224,-21.00,-34.50,0.00,0.000,0.000,0.00
225,-21.00,-33.50,0.00,0.000,0.000,0.00
226,-21.00,-32.50,0.00,0.000,0.000,0.00
227,-21.00,-31.50,0.00,0.000,0.000,0.00
228,-21.00,-30.50,0.00,0.000,0.000,0.00
229,-21.00,-29.50,0.00,0.000,0.000,0.00
230,-21.00,-28.50,0.00,0.000,0.000,0.00
231,-21.00,-27.50,0.00,0.000,0.000,0.00
232,-21.00,-26.50,0.00,0.000,0.000,0.00
233,-21.00,-25.50,0.00,0.000,0.000,0.00
234,-21.00,-24.50,0.00,0.000,0.000,0.00
235,-21.00,-23.50,0.00,0.000,0.000,0.00
236,-21.00,-22.50,0.00,0.000,0.000,0.00
237,-21.00,-21.50,0.00,0.000,0.000,0.00
238,-21.00,-20.50,0.00,0.000,0.000,0.00
239,-21.00,-19.50,0.00,0.000,0.000,0.00
240,-21.00,-18.50,0.00,0.000,0.000,0.00
241,-21.00,-17.50,0.00,0.000,0.000,0.00
242,-21.00,-16.50,0.00,0.000,0.000,0.00
243,-21.00,-15.50,0.00,0.000,0.000,0.00
244,-21.00,-14.50,0.00,0.000,0.000,0.00
245,-21.00,-13.50,0.00,0.000,0.000,0.00
246,-21.00,-12.50,0.00,0.000,0.000,0.00
247,-21.00,-11.50,0.00,0.000,0.000,0.00
248,-21.00,-10.50,0.00,0.000,0.000,0.00
249,-21.00,-9.50,0.00,0.000,0.000,0.00
250,-21.00,-8.50,0.00,0.000,0.000,0.00
251,-21.00,-7.50,0.00,0.000,0.000,0.00
252,-21.00,-6.50,0.00,0.000,0.000,0.00
253,-21.00,-5.50,0.00,0.000,0.000,0.00
254,-21.00,-4.50,0.00,0.000,0.000,0.00
255,-21.00,-3.50,0.00,0.000,0.000,0.00
256,-21.00,-2.50,0.00,0.000,0.000,0.00
257,-21.00,-1.50,0.00,0.000,0.000,0.00
258,-21.00,-0.50,0.00,0.000,0.000,0.00
259,-21.00,0.50,0.00,0.000,0.000,0.00
260,-21.00,1.50,0.00,0.000,0.000,0.00
261,-21.00,2.50,0.00,0.000,0.000,0.00
262,-21.00,3.50,0.00,0.000,0.000,0.00
263,-21.00,4.50,0.00,0.000,0.000,0.00
264,-21.00,5.50,0.00,0.000,0.000,0.00
265,-21.00,6.50,0.00,0.000,0.000,0.00
266,-21.00,7.50,0.00,0.000,0.000,0.00
267,-21.00,8.50,0.00,0.000,0.000,0.00
268,-21.00,9.50,0.00,0.000,0.000,0.00
269,-21.00,10.50,0.00,0.000,0.000,0.00
270,-21.00,11.50,0.00,0.000,0.000,0.00
271,-21.00,12.50,0.00,0.000,0.000,0.00
272,-21.00,13.50,0.00,0.000,0.000,0.00
273,-21.00,14.50,0.00,0.000,0.000,0.00
274,-21.00,15.50,0.00,0.000,0.000,0.00
275,-21.00,16.50,0.00,0.000,0.000,0.00
276,-21.00,17.50,0.00,0.000,0.000,0.00
277,-21.00,18.50,0.00,0.000,0.000,0.00
278,-21.00,19.50,0.00,0.000,0.000,0.00
279,-21.00,20.50,0.00,0.000,0.000,0.00
280,-21.00,21.50,0.00,0.000,0.000,0.00
281,-21.00,22.50,0.00,0.000,0.000,0.00
282,-21.00,23.50,0.00,0.000,0.000,0.00
283,-21.00,24.50,0.00,0.000,0.000,0.00
284,-21.00,25.50,0.00,0.000,0.000,0.00
285,-21.00,26.50,0.00,0.000,0.000,0.00
286,-21.00,27.50,0.00,0.000,0.000,0.00
287,-21.00,28.50,0.00,0.000,0.000,0.00
288,-21.00,29.50,0.00,0.000,0.000,0.00
289,-21.00,30.50,0.00,0.000,0.000,0.00
290,-21.00,31.50,0.00,0.000,0.000,0.00
291,-21.00,32.50,0.00,0.000,0.000,0.00
292,-21.00,33.50,0.00,0.000,0.000,0.00
293,-21.00,34.50,0.00,0.000,0.000,0.00
294,-21.00,35.50,0.00,0.000,0.000,0.00
295,-21.00,36.50,0.00,0.000,0.000,0.00
296,-20.00,-36.50,0.00,0.000,0.000,0.00
