#id;x;y;vol
655;26.500;-7.000;1.000
656;26.500;-6.000;1.000
657;26.500;-5.000;1.000
658;26.500;-4.000;1.000
659;26.500;-3.000;1.000
660;26.500;-2.000;1.000
661;26.500;-1.000;1.000
662;26.500;0.000;1.000
663;26.500;1.000;1.000
664;26.500;2.000;1.000
665;26.500;3.000;1.000
666;26.500;4.000;1.000
667;26.500;5.000;1.000
668;26.500;6.000;1.000
669;26.500;7.000;1.000
670;26.500;8.000;1.000
671;26.500;9.000;1.000
672;26.500;10.000;1.000
673;26.500;11.000;1.000
674;26.500;12.000;1.000
675;27.500;-12.000;1.000
676;27.500;-11.000;1.000
677;27.500;-10.000;1.000
678;27.500;-9.000;1.000
679;27.500;-8.000;1.000
680;27.500;-7.000;1.000
681;27.500;-6.000;1.000
682;27.500;-5.000;1.000
683;27.500;-4.000;1.000
684;27.500;-3.000;1.000
685;27.500;-2.000;1.000
686;27.500;-1.000;1.000
687;27.500;0.000;1.000
688;27.500;1.000;1.000
689;27.500;2.000;1.000
690;27.500;3.000;1.000
691;27.500;4.000;1.000
692;27.500;5.000;1.000
693;27.500;6.000;1.000
694;27.500;7.000;1.000
695;27.500;8.000;1.000
696;27.500;9.000;1.000
697;27.500;10.000;1.000
698;27.500;11.000;1.000
699;27.500;12.000;1.000
700;28.500;-12.000;1.000
701;28.500;-11.000;1.000
702;28.500;-10.000;1.000
703;28.500;-9.000;1.000
704;28.500;-8.000;1.000
705;28.500;-7.000;1.000
706;28.500;-6.000;1.000
707;28.500;-5.000;1.000
708;28.500;-4.000;1.000
709;28.500;-3.000;1.000
710;28.500;-2.000;1.000
711;28.500;-1.000;1.000
712;28.500;0.000;1.000
713;28.500;1.000;1.000
714;28.500;2.000;1.000
715;28.500;3.000;1.000
716;28.500;4.000;1.000
717;28.500;5.000;1.000
718;28.500;6.000;1.000
719;28.500;7.000;1.000
720;28.500;8.000;1.000
721;28.500;9.000;1.000
722;28.500;10.000;1.000
723;28.500;11.000;1.000
724;28.500;12.000;1.000
725;29.500;-12.000;1.000
726;29.500;-11.000;1.000
727;29.500;-10.000;1.000
728;29.500;-9.000;1.000
729;29.500;-8.000;1.000
730;29.500;-7.000;1.000
731;29.500;-6.000;1.000
732;29.500;-5.000;1.000
733;29.500;-4.000;1.000
734;29.500;-3.000;1.000
735;29.500;-2.000;1.000
736;29.500;-1.000;1.000
737;29.500;0.000;1.000
738;29.500;1.000;1.000
739;29.500;2.000;1.000
740;29.500;3.000;1.000
741;29.500;4.000;1.000
742;29.500;5.000;1.000
743;29.500;6.000;1.000
744;29.500;7.000;1.000
745;29.500;8.000;1.000
746;29.500;9.000;1.000
747;29.500;10.000;1.000
748;29.500;11.000;1.000
749;29.500;12.000;1.000
750;30.500;-12.000;1.000
751;30.500;-11.000;1.000
752;30.500;-10.000;1.000
753;30.500;-9.000;1.000
754;30.500;-8.000;1.000
755;30.500;-7.000;1.000
756;30.500;-6.000;1.000
757;30.500;-5.000;1.000
758;30.500;-4.000;1.000
759;30.500;-3.000;1.000
760;30.500;-2.000;1.000
761;30.500;-1.000;1.000
762;30.500;0.000;1.000
763;30.500;1.000;1.000
764;30.500;2.000;1.000
765;30.500;3.000;1.000
766;30.500;4.000;1.000
767;30.500;5.000;1.000
768;30.500;6.000;1.000
769;30.500;7.000;1.000
770;30.500;8.000;1.000
771;30.500;9.000;1.000
772;30.500;10.000;1.000
773;30.500;11.000;1.000
774;30.500;12.000;1.000
775;31.500;-12.000;1.000
776;31.500;-11.000;1.000
777;31.500;-10.000;1.000
778;31.500;-9.000;1.000
779;31.500;-8.000;1.000
780;31.500;-7.000;1.000
781;31.500;-6.000;1.000
782;31.500;-5.000;1.000
783;31.500;-4.000;1.000
784;31.500;-3.000;1.000
785;31.500;-2.000;1.000
786;31.500;-1.000;1.000
787;31.500;0.000;1.000
788;31.500;1.000;1.000
789;31.500;2.000;1.000
790;31.500;3.000;1.000
791;31.500;4.000;1.000
792;31.500;5.000;1.000
793;31.500;6.000;1.000
794;31.500;7.000;1.000
795;31.500;8.000;1.000
796;31.500;9.000;1.000
797;31.500;10.000;1.000
798;31.500;11.000;1.000
799;31.500;12.000;1.000
800;32.500;-12.000;1.000
801;32.500;-11.000;1.000
802;32.500;-10.000;1.000
803;32.500;-9.000;1.000
804;32.500;-8.000;1.000
805;32.500;-7.000;1.000
806;32.500;-6.000;1.000
807;32.500;-5.000;1.000
808;32.500;-4.000;1.000
809;32.500;-3.000;1.000
810;32.500;-2.000;1.000
811;32.500;-1.000;1.000
812;32.500;0.000;1.000
813;32.500;1.000;1.000
814;32.500;2.000;1.000
815;32.500;3.000;1.000
816;32.500;4.000;1.000
817;32.500;5.000;1.000
818;32.500;6.000;1.000
819;32.500;7.000;1.000
820;32.500;8.000;1.000
821;32.500;9.000;1.000
822;32.500;10.000;1.000
823;32.500;11.000;1.000
824;32.500;12.000;1.000
825;33.500;-12.000;1.000
826;33.500;-11.000;1.000
827;33.500;-10.000;1.000
828;33.500;-9.000;1.000
829;33.500;-8.000;1.000
830;33.500;-7.000;1.000
831;33.500;-6.000;1.000
832;33.500;-5.000;1.000
833;33.500;-4.000;1.000
834;33.500;-3.000;1.000
835;33.500;-2.000;1.000
836;33.500;-1.000;1.000
837;33.500;0.000;1.000
838;33.500;1.000;1.000
839;33.500;2.000;1.000
840;33.500;3.000;1.000
841;33.500;4.000;1.000
842;33.500;5.000;1.000
843;33.500;6.000;1.000
844;33.500;7.000;1.000
845;33.500;8.000;1.000
846;33.500;9.000;1.000
847;33.500;10.000;1.000
848;33.500;11.000;1.000
849;33.500;12.000;1.000
850;34.500;-12.000;1.000
851;34.500;-11.000;1.000
852;34.500;-10.000;1.000
853;34.500;-9.000;1.000
854;34.500;-8.000;1.000
855;34.500;-7.000;1.000
856;34.500;-6.000;1.000
857;34.500;-5.000;1.000
858;34.500;-4.000;1.000
859;34.500;-3.000;1.000
860;34.500;-2.000;1.000
861;34.500;-1.000;1.000
862;34.500;0.000;1.000
863;34.500;1.000;1.000
864;34.500;2.000;1.000
865;34.500;3.000;1.000
866;34.500;4.000;1.000
867;34.500;5.000;1.000
868;34.500;6.000;1.000
869;34.500;7.000;1.000
870;34.500;8.000;1.000
871;34.500;9.000;1.000
872;34.500;10.000;1.000
873;34.500;11.000;1.000
874;34.500;12.000;1.000
875;35.500;-12.000;1.000
876;35.500;-11.000;1.000
877;35.500;-10.000;1.000
878;35.500;-9.000;1.000
879;35.500;-8.000;1.000
880;35.500;-7.000;1.000
881;35.500;-6.000;1.000
882;35.500;-5.000;1.000
883;35.500;-4.000;1.000
884;35.500;-3.000;1.000
885;35.500;-2.000;1.000
886;35.500;-1.000;1.000
887;35.500;0.000;1.000
888;35.500;1.000;1.000
889;35.500;2.000;1.000
